Model year,Make,Vehicle class,Engine size (L),Cylinders,Transmission,Number of gears,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),CO2 emissions (g/km)
1995,Acura,Subcompact,1.8,4,A,4,Regular gasoline,11.6,8.3,10.1,232
1995,Acura,Subcompact,1.8,4,M,5,Regular gasoline,11.0,8.3,9.8,225
1995,Acura,Subcompact,1.8,4,M,5,Premium gasoline,10.8,8.3,9.7,223
1995,Acura,Compact,3.2,6,A,4,Premium gasoline,14.2,10.5,12.5,288
1995,Acura,Compact,3.2,6,A,4,Premium gasoline,14.6,11.0,13.0,299
1995,Acura,Compact,3.2,6,M,6,Premium gasoline,15.0,9.9,12.7,292
1995,Acura,Two-seater,3.0,6,A,4,Premium gasoline,15.1,10.9,13.2,304
1995,Acura,Two-seater,3.0,6,M,5,Premium gasoline,14.5,10.6,12.7,292
1995,Alfa Romeo,Compact,3.0,6,A,4,Premium gasoline,17.4,11.8,14.9,343
1995,Alfa Romeo,Compact,3.0,6,M,5,Premium gasoline,15.4,10.6,13.3,306
1995,Audi,Compact,2.8,6,A,4,Premium gasoline,14.5,9.7,12.3,283
1995,Audi,Compact,2.8,6,M,5,Premium gasoline,13.6,9.7,11.9,274
1995,Audi,Compact,2.8,6,M,5,Premium gasoline,13.9,10.1,12.2,281
1995,Audi,Compact,2.8,6,A,4,Premium gasoline,14.2,10.9,12.7,292
1995,Audi,Compact,2.8,6,A,4,Premium gasoline,14.3,11.4,13.0,299
1995,Audi,Station wagon,2.8,6,A,4,Premium gasoline,14.2,11.0,12.7,292
1995,Audi,Station wagon,2.8,6,A,4,Premium gasoline,14.3,11.4,13.0,299
1995,Audi,Minicompact,2.8,6,A,4,Premium gasoline,14.6,9.9,12.5,288
1995,Audi,Compact,2.2,5,M,5,Premium gasoline,14.9,11.0,13.1,301
1995,Bentley,Mid-size,6.7,8,A,4,Premium gasoline,24.7,17.3,21.3,490
1995,Bentley,Mid-size,6.7,8,A,4,Premium gasoline,24.7,17.3,21.3,490
1995,Bentley,Compact,6.7,8,A,4,Premium gasoline,24.9,17.3,21.5,495
1995,Bentley,Compact,6.7,8,A,4,Premium gasoline,25.1,17.0,21.5,495
1995,Bentley,Compact,6.7,8,A,4,Premium gasoline,24.9,16.0,20.9,481
1995,Bentley,Full-size,6.7,8,A,4,Premium gasoline,25.3,17.8,21.9,504
1995,Bentley,Mid-size,6.7,8,A,4,Premium gasoline,24.9,16.0,20.9,481
1995,Bentley,Mid-size,6.7,8,A,4,Premium gasoline,24.9,16.0,20.9,481
1995,BMW,Subcompact,1.8,4,A,4,Premium gasoline,12.8,9.0,11.1,255
1995,BMW,Subcompact,1.8,4,M,5,Premium gasoline,12.0,8.1,10.3,237
1995,BMW,Minicompact,1.8,4,A,4,Premium gasoline,12.8,9.0,11.1,255
1995,BMW,Minicompact,1.8,4,M,5,Premium gasoline,12.2,8.2,10.4,239
1995,BMW,Compact,1.8,4,A,4,Premium gasoline,12.8,8.9,11.0,253
1995,BMW,Compact,1.8,4,M,5,Premium gasoline,12.0,8.1,10.3,237
1995,BMW,Subcompact,2.0,6,A,5,Premium gasoline,13.3,9.0,11.4,262
1995,BMW,Subcompact,2.0,6,M,5,Premium gasoline,13.3,9.0,11.4,262
1995,BMW,Subcompact,2.5,6,A,4,Premium gasoline,13.4,9.3,11.5,265
1995,BMW,Subcompact,2.5,6,M,5,Premium gasoline,13.7,9.1,11.7,269
1995,BMW,Minicompact,2.5,6,A,4,Premium gasoline,13.4,9.3,11.5,265
1995,BMW,Minicompact,2.5,6,M,5,Premium gasoline,13.7,9.1,11.7,269
1995,BMW,Compact,2.5,6,A,4,Premium gasoline,14.3,10.1,12.4,285
1995,BMW,Compact,2.5,6,M,5,Premium gasoline,13.7,9.1,11.7,269
1995,BMW,Compact,3.0,8,A,5,Premium gasoline,16.0,10.1,13.3,306
1995,BMW,Compact,3.0,8,M,5,Premium gasoline,16.6,10.7,14.0,322
1995,BMW,Station wagon,3.0,8,A,5,Premium gasoline,16.0,10.1,13.3,306
1995,BMW,Compact,4.0,8,A,5,Premium gasoline,15.2,10.1,12.9,297
1995,BMW,Compact,4.0,8,M,6,Premium gasoline,18.0,11.0,14.8,340
1995,BMW,Mid-size,4.0,8,A,5,Premium gasoline,16.1,10.9,13.7,315
1995,BMW,Mid-size,4.0,8,A,5,Premium gasoline,16.1,10.9,13.7,315
1995,BMW,Mid-size,5.4,12,A,5,Premium gasoline,18.9,12.7,16.1,370
1995,BMW,Subcompact,4.0,8,A,5,Premium gasoline,16.1,10.9,13.7,315
1995,BMW,Subcompact,5.4,12,A,5,Premium gasoline,18.9,12.7,16.1,370
1995,Buick,Mid-size,2.2,4,A,3,Regular gasoline,11.3,8.2,9.9,228
